Customer_Name,Last_Order_Date,Frequency,Monetary,Total_Profit,Avg_Discount,Total_Quantity,Recency,Cluster
Christine Kargatis,2011-09-07,2,293.21999999999997,56.08,0.04,30,481,0
Christine Phan,2012-08-15,4,7719.012500000001,736.28,0.04428571428571428,199,138,0
Christine Sundaresam,2011-10-29,9,17420.85,-1653.43,0.04363636363636364,301,429,0
Christopher Conant,2012-09-03,8,9465.976,-5824.13,0.041666666666666664,209,119,0
Christopher Martinez,2012-11-09,10,37289.066,6278.81,0.04684210526315789,491,52,1
Christopher Schild,2011-03-28,8,15970.5365,1464.2599999999998,0.06181818181818182,311,644,0
Christy Brittain,2012-12-13,15,29061.8675,-3541.98,0.060000000000000005,604,18,1
Chuck Clark,2012-09-10,11,36028.4065,8312.47,0.05157894736842105,543,112,1
Chuck Magee,2012-09-18,4,4466.26,103.19999999999999,0.041999999999999996,111,104,0
Chuck Sachs,2011-12-08,8,25904.601000000002,-1020.4000000000001,0.048947368421052635,357,389,0
Cindy Chapman,2012-12-25,14,27261.8975,3735.62,0.053000000000000005,483,6,1
Cindy Schnelling,2012-05-11,8,30487.0805,8542.759999999998,0.06153846153846154,282,234,1
Cindy Stewart,2012-08-30,8,12567.57,1479.1000000000001,0.052000000000000005,151,123,0
Claire Good,2012-02-27,6,8867.9435,-483.21000000000015,0.0625,225,308,0
Claudia Miner,2012-08-04,6,4561.826,-379.41999999999985,0.046,141,149,0
Clay Cheatham,2012-10-27,5,42255.168000000005,-3799.77,0.034,100,65,0
Clay Ludtke,2012-10-16,4,4428.0695,517.04,0.055,152,76,0
Clay Rozendal,2011-07-10,4,6611.4365,1698.44,0.052000000000000005,124,540,0
Clytie Kelty,2012-04-28,10,63189.95,18792.809999999998,0.049444444444444444,460,247,1
Corey Catlett,2012-06-13,5,16032.235,-361.47999999999985,0.057272727272727274,266,201,0
Corey Lock,2012-05-03,7,24161.9505,-8392.04,0.048,286,242,0
Corey Roper,2012-03-03,3,4069.6359999999995,-3.280000000000001,0.05333333333333334,81,303,0
Corinna Mitchell,2011-02-25,3,14938.990000000002,1636.97,0.04833333333333333,126,675,0
Craig Carreira,2012-05-21,1,41343.21,3852.19,0.09,8,224,0
Craig Carroll,2012-04-05,7,11493.13,1217.05,0.06777777777777777,220,270,0
Craig Leslie,2012-02-17,6,29497.484,5969.709999999999,0.034,229,318,0
Craig Molinari,2012-06-05,7,22570.3775,605.2600000000001,0.02888888888888889,219,209,0
Craig Rider,2011-03-16,2,8502.271999999999,2238.57,0.03,95,656,0
Craig Yedwab,2012-05-12,7,16360.872,1285.14,0.05625,188,233,0
Cyma Kinney,2012-02-16,3,2310.23,332.29,0.03833333333333333,99,319,0
Cynthia Arntzen,2012-11-26,16,31607.476,4010.6499999999996,0.0512,585,35,1
Cynthia Delaney,2012-06-29,9,30848.0415,5933.82,0.04833333333333334,392,185,1
Cynthia Voltz,2012-07-26,5,6031.7880000000005,-529.18,0.03166666666666667,194,158,0
Cyra Reiten,2012-10-02,4,16834.37,-8529.67,0.05333333333333334,197,90,0
Damala Kotsonis,2012-10-22,7,22970.254,1154.58,0.06076923076923077,351,70,0
Dan Campbell,2012-10-04,10,28409.9345,3051.37,0.058095238095238096,528,88,1
Dan Lawera,2011-12-17,6,23104.170000000002,2388.71,0.05416666666666667,328,380,0
Dan Reichenbach,2011-09-26,4,3468.7299999999996,531.24,0.03833333333333333,181,462,0
Dana Kaydos,2012-09-13,5,20459.4895,-5196.289999999999,0.05333333333333333,265,109,0
Daniel Byrd,2010-10-29,5,7865.08,-641.3599999999999,0.02375,264,794,0
Daniel Lacy,2012-07-26,6,5489.998,-49.559999999999945,0.04666666666666666,203,158,0
Daniel Raglin,2012-09-28,3,3321.86,184.98000000000002,0.0775,74,94,0
Dario Medina,2012-03-26,6,18937.420000000002,5286.08,0.06625,160,280,0
Darren Budd,2012-11-14,26,81577.3435,1857.6599999999999,0.04536585365853659,1140,47,1
Darren Koutras,2012-10-28,3,2437.0595000000003,-1502.24,0.01,151,64,0
Darren Powers,2012-12-25,9,9287.363,-2368.78,0.04153846153846154,355,6,0
Darrin Martin,2012-04-02,4,2074.56,77.34000000000002,0.065,171,273,0
Darrin Sayre,2012-03-09,7,23338.48,2552.34,0.06,237,297,0
Darrin Van Huff,2012-12-08,6,6043.025000000001,1141.24,0.043333333333333335,199,23,0
Dave Brooks,2010-03-13,4,15540.07,-331.96999999999997,0.041666666666666664,178,1024,0
Dave Hallsten,2012-12-02,11,23588.04,35.919999999999845,0.05333333333333334,527,29,1
Dave Kipp,2012-10-25,8,25402.173000000003,-12930.59,0.06785714285714285,408,67,0
Dave Poirier,2012-07-19,10,29249.086,4834.82,0.05333333333333333,515,165,1
David Bremer,2011-11-29,5,2209.332,-694.21,0.042857142857142864,105,398,0
David Flashing,2012-09-03,6,9564.48,-3316.11,0.05833333333333333,161,119,0
David Kendrick,2012-04-07,8,14189.536,326.96,0.0475,150,268,0
David Philippe,2012-11-03,9,15976.5345,-701.9100000000002,0.04181818181818182,292,58,0
David Smith,2012-02-26,4,3192.8705,261.22999999999996,0.04285714285714286,154,309,0
David Wiener,2011-01-20,4,3028.23,-434.02000000000004,0.05,189,711,0
Dean Braden,2011-03-13,2,5284.823,948.9200000000001,0.034999999999999996,38,659,0
Dean Katz,2012-01-08,5,11861.511999999999,710.1800000000001,0.037142857142857144,73,358,0
Dean Percer,2012-06-24,7,34987.7715,9391.55,0.04090909090909091,317,190,1
Deanra Eno,2012-11-20,13,23201.28,1011.5699999999998,0.05571428571428571,426,41,1
Deborah Brumfield,2012-01-03,12,97433.1355,31121.219999999998,0.042499999999999996,554,363,1
Debra Catini,2012-10-21,8,8421.92,-1124.06,0.06454545454545454,256,71,0
Deirdre Greer,2012-02-17,2,11346.6535,3086.0600000000004,0.036000000000000004,125,318,0
Delfina Latchford,2011-03-08,5,3541.758,318.77000000000004,0.03666666666666667,154,664,0
Denise Leinenbach,2012-07-02,6,15413.949999999999,595.5400000000001,0.055,79,182,0
Denise Monton,2012-05-27,15,22513.17,2581.13,0.04333333333333333,625,218,1
Dennis Bolton,2012-09-21,12,17099.94,2691.31,0.051428571428571435,386,101,1
Dennis Kane,2012-12-01,13,75967.59049999999,10456.519999999999,0.0645,525,30,1
Dennis Pardue,2012-10-13,11,21372.9775,603.03,0.0485,546,79,1
Denny Blanton,2011-08-16,4,12969.188,-1394.3999999999999,0.04142857142857143,93,503,0
Denny Joy,2012-04-07,5,23310.87,6838.000000000001,0.06125,185,268,0
Denny Ordway,2012-10-30,7,12916.309,1724.69,0.0425,188,62,0
Dianna Arnett,2012-03-26,5,14132.789499999999,3547.17,0.04833333333333333,201,280,0
Dianna Vittorini,2012-08-12,8,15314.538499999999,3897.54,0.041666666666666664,265,141,0
Dianna Wilson,2011-09-10,3,9611.36,-770.3299999999999,0.0325,79,478,0
Dionis Lloyd,2012-08-09,7,11855.3475,-274.16999999999996,0.05454545454545454,233,144,0
Don Jones,2012-11-26,6,8399.321,-3345.8800000000006,0.043333333333333335,117,35,0
Don Miller,2012-08-04,7,11676.57,1623.65,0.042222222222222223,199,149,0
Don Weiss,2012-04-25,4,4208.048000000001,315.62,0.038571428571428576,76,250,0
Dorothy Badders,2011-10-03,5,17521.09,-3779.63,0.04625,267,455,0
Dorothy Dickinson,2010-05-07,1,198.08,32.69,0.02,47,969,0
Dorothy Wardle,2012-12-21,9,28598.5625,-916.1900000000005,0.05235294117647059,395,10,1
Dorris Love,2012-11-05,10,15867.250000000002,4001.33,0.05692307692307692,279,56,1
Doug Bickford,2012-11-15,14,41159.648,7823.870000000001,0.05565217391304348,563,46,1
Doug Jacobs,2012-09-09,4,12966.237000000001,4214.15,0.036,123,113,0
Doug O'Connell,2012-08-04,3,721.65,-171.77,0.027999999999999997,64,149,0
Duane Benoit,2012-11-19,8,20368.3545,963.4099999999999,0.051818181818181826,227,42,0
Duane Huffman,2012-10-19,13,19668.1735,1076.62,0.04470588235294118,455,73,1
Duane Noonan,2012-12-05,5,30369.789999999997,-2558.3700000000003,0.027777777777777776,216,26,0
Ed Braxton,2012-12-07,22,75802.76,6631.179999999999,0.041842105263157896,1058,24,1
Ed Jacobs,2011-09-05,5,13887.6725,888.13,0.07833333333333332,145,483,0
Ed Ludwig,2012-07-12,7,18368.42,5101.32,0.04357142857142857,438,172,1
Edward Becker,2011-10-07,13,18149.56,1000.0500000000001,0.04833333333333333,506,451,1
Edward Hooks,2012-09-22,5,34532.76,5673.92,0.06285714285714286,266,100,1
Edward Nazzal,2012-11-18,16,54511.8035,9099.43,0.05333333333333334,707,43,1
Eileen Kiefer,2011-10-03,5,9751.536,-192.51999999999998,0.03833333333333333,152,455,0
Eleni McCrary,2012-08-29,7,30519.14,2635.13,0.04625,214,124,0
Elizabeth Moffitt,2011-04-28,6,6207.6449999999995,686.16,0.048571428571428564,146,613,0
Ellis Ballard,2011-12-07,6,25202.156499999997,5073.5599999999995,0.04777777777777778,227,390,0
Elpida Rittenbach,2011-08-08,5,9677.297999999999,1331.0900000000001,0.03375,184,511,0
Emily Burns,2012-04-22,3,573.98,-31.49,0.04,51,253,0
Emily Ducich,2010-01-01,2,26209.65,5721.789999999999,0.072,110,1095,0
Emily Grady,2012-11-28,12,28774.013499999997,6529.05,0.049473684210526316,482,33,1
Emily Phan,2012-11-26,8,117124.43800000001,34005.44,0.05800000000000001,269,35,1
Eric Barreto,2012-05-27,17,24769.844,4423.19,0.04814814814814815,585,218,1
Eric Hoffmann,2012-08-01,4,7300.165999999999,471.96000000000004,0.054285714285714284,194,152,0
Eric Murdock,2012-09-28,4,343.328,-326.49,0.035,82,94,0
Erica Bern,2012-08-07,12,60960.5295,381.27,0.052222222222222225,588,146,1
Erica Hackney,2011-12-07,3,8608.35,2004.6100000000001,0.034999999999999996,217,390,0
Erica Hernandez,2012-10-30,6,11552.286,-463.32000000000005,0.055999999999999994,287,62,0
Erica Smith,2012-01-27,6,35703.914,3536.1800000000003,0.05333333333333334,375,339,1
Erin Ashbrook,2012-10-18,7,7588.141,500.08000000000004,0.061,166,74,0
Erin Creighton,2012-09-08,9,35725.0895,5960.04,0.042777777777777776,496,114,1
Erin Mull,2012-04-17,8,32279.0255,10777.659999999998,0.03727272727272728,260,258,1
Erin Smith,2012-05-28,4,7189.49,1399.9699999999998,0.048,133,217,0
Eudokia Martin,2012-05-24,4,7913.36,1666.11,0.044,96,221,0
Eugene Barchas,2012-05-12,7,22686.213,2449.3199999999997,0.071,310,233,0
Eugene Hildebrand,2012-05-13,6,21144.72,-2109.4700000000003,0.05909090909090909,300,232,0
Eugene Moren,2012-03-25,10,20006.713,4037.6,0.05,312,281,1
Eva Jacobs,2012-08-17,9,24445.0125,4638.33,0.055625,384,136,1
Evan Bailliet,2012-01-12,6,3193.9425,-254.33999999999997,0.0425,138,354,0
Evan Henry,2012-12-25,8,7909.8155,415.29,0.06909090909090909,201,6,0
Evan Minnotte,2010-12-22,6,18286.059999999998,-126.30000000000001,0.049999999999999996,184,740,0
Filia McAdams,2012-11-18,6,29768.4295,4826.89,0.04111111111111111,269,43,0
Frank Atkinson,2012-10-27,5,16155.5745,1467.1,0.04111111111111111,248,65,0
Frank Carlisle,2012-07-09,3,2810.08,-1716.86,0.056666666666666664,40,175,0
Frank Gastineau,2012-03-19,4,14006.923999999999,-572.7099999999998,0.044,169,287,0
Frank Hawley,2012-04-27,7,34301.5175,2596.92,0.04583333333333334,314,248,1
Frank Merwin,2012-03-24,12,35110.0595,5068.78,0.04875,382,282,1
Frank Olsen,2012-07-21,3,1948.8899999999999,88.14999999999998,0.0175,88,163,0
Frank Price,2012-04-15,4,8811.6155,2372.28,0.04,125,260,0
Fred Chung,2012-06-26,5,4054.161,319.54999999999995,0.041428571428571426,165,188,0
Fred Harton,2012-10-07,9,20464.268,-71.54000000000003,0.04294117647058823,481,85,1
Fred Hopkins,2010-12-19,2,968.8689999999999,-176.01000000000002,0.03333333333333333,56,743,0
Fred McMath,2012-09-06,9,25607.338000000003,1774.44,0.0425,470,116,1
Fred Wasserman,2011-09-12,7,7487.9580000000005,1005.98,0.04818181818181819,220,476,0
Gary Hansen,2012-01-05,3,2441.45,273.16999999999996,0.05,95,361,0
Gary Hwang,2012-11-01,11,21771.254,-3923.27,0.06384615384615386,422,60,1
Gary McGarr,2011-11-19,7,14519.9335,973.4699999999999,0.055,254,408,0
Gary Mitchum,2012-06-07,3,848.0699999999999,17.63,0.05600000000000001,89,207,0
Gary Zandusky,2012-10-26,7,18544.038,2815.9100000000003,0.05,234,66,0
Gene Hale,2011-09-24,6,6647.6075,597.89,0.031,202,464,0
Gene McClure,2011-11-19,6,7686.2,-1155.3799999999999,0.05875,188,408,0
George Ashbrook,2012-06-11,10,11322.7605,1054.29,0.06285714285714286,374,203,0
George Bell,2012-12-03,5,2952.9385,-290.25,0.044444444444444446,184,28,0
George Zrebassa,2012-09-22,6,16325.09,702.69,0.07272727272727274,298,100,0
Georgia Rosenberg,2012-02-08,8,15647.49,2364.92,0.045,235,327,0
Giulietta Baptist,2012-10-25,5,6292.67,1394.8400000000001,0.055714285714285716,230,67,0
Giulietta Dortch,2012-10-06,19,58679.845,11118.6,0.05071428571428571,734,86,1
Giulietta Weimer,2012-12-25,8,15839.2955,-2075.0899999999997,0.065,492,6,1
Grace Kelly,2011-12-09,4,3714.3465,-980.4300000000001,0.055,202,388,0
Grant Carroll,2012-11-11,17,88417.0025,27977.29,0.0437037037037037,739,50,1
Grant Donatelli,2012-09-12,4,15285.53,-1093.8400000000001,0.06833333333333334,156,110,0
Grant Thornton,2012-12-02,12,15596.5505,3424.3,0.037647058823529415,428,29,1
Greg Guthrie,2011-03-26,12,33090.42,939.47,0.040952380952380955,546,646,1
Greg Hansen,2012-03-24,5,14132.98,5708.26,0.05666666666666667,216,282,0
Greg Matthias,2011-02-06,7,13256.2455,-4159.34,0.041,221,694,0
Greg Maxwell,2012-05-05,3,16229.687999999998,3995.03,0.05333333333333334,104,240,0
Greg Tran,2012-09-10,5,30119.413,8686.039999999999,0.049999999999999996,186,112,0
Guy Armstrong,2012-11-29,10,18803.822,-974.5499999999998,0.042,375,32,1
Guy Phonely,2012-07-11,7,10399.8755,133.97000000000003,0.06,182,173,0
Guy Thornton,2012-07-02,7,18690.3785,4819.1,0.05555555555555555,276,182,0
